0, 0.1026, 2.30258
500, 0.478, 1.44635
1000, 0.5364, 1.31136
1500, 0.5479, 1.26046
2000, 0.5618, 1.23126
2500, 0.5723, 1.20927
3000, 0.5941, 1.15486
3500, 0.6061, 1.13501
4000, 0.6141, 1.11169
4500, 0.623, 1.10111
5000, 0.627, 1.08857
5500, 0.6321, 1.08336
6000, 0.631, 1.10252
6500, 0.6313, 1.09876
7000, 0.6316, 1.10355
7500, 0.6353, 1.11036
8000, 0.6425, 1.08706
8500, 0.6484, 1.09087
9000, 0.6499, 1.09603
9500, 0.6457, 1.12079
10000, 0.6374, 1.14215
10500, 0.6433, 1.12209
11000, 0.6386, 1.15176
11500, 0.6446, 1.13007
12000, 0.6419, 1.1563
12500, 0.6487, 1.13302
13000, 0.6428, 1.17415
13500, 0.6379, 1.23824
14000, 0.6265, 1.27449
14500, 0.6331, 1.28591
15000, 0.6418, 1.2848
15500, 0.6298, 1.36848
16000, 0.6331, 1.36969
16500, 0.6668, 1.23803
17000, 0.6665, 1.24894
17500, 0.6665, 1.25875
18000, 0.667, 1.26967
18500, 0.6672, 1.28073
19000, 0.6674, 1.29171
19500, 0.6671, 1.30291
20000, 0.6677, 1.31404
20500, 0.6677, 1.32548
21000, 0.6667, 1.33653
21500, 0.6657, 1.3476
22000, 0.6658, 1.35946
22500, 0.6658, 1.37071
23000, 0.6662, 1.38287
23500, 0.6657, 1.39573
24000, 0.6654, 1.40815
24500, 0.665, 1.41226
25000, 0.665, 1.41474
25500, 0.6656, 1.41654
26000, 0.6653, 1.41824
26500, 0.6653, 1.41989
27000, 0.6655, 1.42149
27500, 0.6653, 1.42306
28000, 0.6652, 1.42461
28500, 0.6652, 1.42603
29000, 0.6652, 1.42751
29500, 0.6655, 1.42889
30000, 0.6655, 1.43038
